Disease,Medicine,Disease_Description,Medicine_Description
Fungal infection,"Antifungal Cream (Clotrimazole), Fluconazole","Fungal infection is an inflammatory condition caused by fungi multiplying on the skin. It typically leads to redness, intense itching, and scaling.","Antifungal medications work by breaking down the cell walls of the fungi, preventing them from growing and spreading further."
Allergy,"Antihistamines (Cetirizine, Loratadine)","An allergy is an immune system response to a foreign substance (allergen) that is typically harmless, causing symptoms like sneezing, itching, or swelling.","Antihistamines block the release of histamine, a chemical produced by your body during an allergic reaction, thereby stopping the symptoms."
GERD (Acid Reflux),"Omeprazole, Pantoprazole, Antacids",GERD is a digestive disorder where stomach acid frequently flows back into the tube connecting your mouth and stomach (esophagus).,"Proton pump inhibitors and antacids neutralize stomach acid and reduce acid production, allowing the esophageal lining to heal."
Chronic cholestasis,Ursodeoxycholic acid (Ursodiol),"Chronic cholestasis occurs when the flow of bile from the liver is reduced or blocked, leading to a buildup of bile acids in the bloodstream.","Medications like Ursodiol help improve bile flow, protect liver cells, and reduce the toxic levels of bile acids in your body."
Drug Reaction,"Antihistamines, Corticosteroids","A drug reaction is an adverse, unintended physical response to a medication, often manifesting as a severe rash, fever, or swelling.",Corticosteroids and antihistamines suppress the overactive immune response and immediately reduce severe inflammation and allergic symptoms.
Peptic Ulcer,"Proton Pump Inhibitors (Omeprazole), Amoxicillin","Peptic ulcers are open sores that develop on the inside lining of the stomach, upper small intestine, or esophagus due to acid damage.","Antibiotics eradicate H. pylori bacteria if present, while acid reducers decrease stomach acid to create a healing environment for the sore."
AIDS,Antiretroviral Therapy (ART),"AIDS is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV), which damages the immune system.","Antiretroviral therapy (ART) prevents the virus from multiplying, allowing the immune system to recover and preventing opportunistic infections."
Type 2 Diabetes,"Metformin, Insulin, Glipizide","Type 2 Diabetes is a chronic condition that affects the way your body metabolizes sugar (glucose), leading to elevated blood sugar levels.",Medications like Metformin improve your body's sensitivity to insulin and decrease the amount of glucose produced by your liver.
Gastroenteritis,"Oral Rehydration Salts (ORS), Loperamide","Gastroenteritis is an intestinal infection causing diarrhea, cramps, nausea, vomiting, and fever, often referred to as stomach flu.",Treatment focuses on rehydration solutions and anti-nausea medications. Antibiotics are only used if the cause is definitively bacterial.
Asthma,"Albuterol Inhaler, Fluticasone","Asthma is a condition in which your airways narrow and swell and may produce extra mucus, causing difficulty breathing and wheezing.","Inhaled corticosteroids reduce airway inflammation, while quick-relief inhalers relax the airway muscles to quickly restore normal breathing."
