Disease,Diet_Recommendation,Workout_Recommendation
Fungal infection,"Diet rich in vitamins A, C, and E, probiotics A diet rich in vitamins and low in sugar is recommended, as fungi feed on sugar. Include probiotics like yogurt to balance healthy bacteria.","Light to moderate exercises, keep affected areas dry Light, low-intensity exercises are best. It is crucial to wear breathable clothing and keep the affected areas dry to prevent further fungal growth."
Allergy,"Anti-inflammatory foods, vitamin C rich fruits, avoid allergens Focus on an anti-inflammatory diet rich in omega-3 fatty acids (like salmon) and vitamin C to help naturally reduce the immune response.",Low-impact indoor exercises to avoid pollen/dust Low-impact indoor exercises such as yoga or home-based pilates are ideal to avoid outdoor allergens like pollen and dust.
GERD (Acid Reflux),"Low-acid foods, lean proteins, non-citrus fruits, oatmeal Eat small, frequent meals. Strictly avoid spicy, fried, or highly acidic foods, as well as caffeine, which can trigger severe acid reflux.","Light exercises (walking, gentle yoga), avoid heavy lifting Engage in gentle upright exercises like walking. Avoid heavy lifting and exercises that require bending over or lying flat immediately after meals."
Chronic cholestasis,"Low-fat diet, high fiber, lots of fluids, vitamin supplements A low-fat, high-fiber diet is essential because the body struggles to digest fats properly without adequate bile. Focus on lean proteins.","Light exercises, avoid strenuous activities Stick to light to moderate aerobic exercises. Listen to your body, as fatigue is a common symptom of liver-related conditions."
Drug Reaction,"Bland diet, easily digestible foods, avoid spicy/processed foods Maintain a very clean, bland, and highly hydrating diet. Avoid any known food allergens or highly processed foods that might stress the liver.","Complete rest until symptoms subside Complete rest is absolutely required until the acute symptoms and rashes subside completely. Avoid sweating, which can irritate skin rashes."
Peptic Ulcer,"High fiber foods, probiotic-rich foods, avoid spicy/acidic foods A bland diet with foods like bananas, rice, and oats is soothing. Strictly avoid spicy foods, alcohol, and NSAID painkillers like ibuprofen.","Light physical activity, avoid intense core workouts Moderate walking and stress-relief exercises like meditation are recommended. High stress can exacerbate ulcer symptoms."
AIDS,"High-protein, high-calorie diet, safe food handling A high-calorie, highly nutritious diet packed with high-quality proteins is vital to maintain muscle mass and support immune function.","Moderate exercise to build muscle mass, avoid overexertion A mix of resistance training and moderate cardio helps build strength, combat fatigue, and improve overall physical and mental resilience."
Type 2 Diabetes,"Low glycemic index foods, lean proteins, high fiber A strict low-glycemic diet is crucial. Focus heavily on leafy greens, complex carbohydrates, and lean proteins to prevent blood sugar spikes.","Regular aerobic exercise (walking, swimming), strength training Consistent daily cardiovascular exercise (like brisk walking or cycling) combined with weight training significantly improves insulin sensitivity."
Gastroenteritis,"BRAT diet (Bananas, Rice, Applesauce, Toast), clear fluids The BRAT diet (Bananas, Rice, Applesauce, Toast) is highly recommended. It provides easily digestible, binding foods that soothe the stomach.","Complete rest, no exercise until fully recovered Strict bed rest is required. Your body needs all its energy to fight the infection and recover from dehydration."
Asthma,"Foods rich in vitamin D and antioxidants, avoid sulfites Foods rich in antioxidants and vitamin D can help reduce lung inflammation. Stay hydrated to keep airway mucus thin.","Swimming, walking, yoga (focus on breathing exercises) Swimming and indoor cycling are excellent as they take place in warm, humid environments. Always keep your rescue inhaler nearby."
Hypertension,"DASH diet (fruits, vegetables, low-fat dairy, low sodium) The DASH diet (Dietary Approaches to Stop Hypertension) is proven to work. It emphasizes fruits, vegetables, whole grains, and drastically reduces salt.","Regular aerobic exercise (30 mins a day), avoid heavy lifting Regular aerobic exercise, such as brisk walking, jogging, or swimming for at least 30 minutes a day, is one of the best ways to lower blood pressure."
Migraine,"Magnesium-rich foods, stay hydrated, avoid triggers (caffeine, aged cheese) Keep a food diary to identify triggers (commonly aged cheeses, chocolate, or caffeine). Regular meals and excellent hydration prevent attacks.","Gentle yoga, stretching, avoid high-intensity workouts during attacks Gentle, preventive exercises like yoga or tai chi can reduce stress (a major trigger). Avoid intense exercise during an active migraine."
Cervical spondylosis,"Calcium and vitamin D rich foods, anti-inflammatory diet An anti-inflammatory diet rich in calcium, vitamin D, and omega-3s supports bone and joint health and slows degenerative changes.","Neck stretches, gentle yoga, swimming, avoid high-impact sports Specific neck strengthening and stretching exercises, often guided by a physiotherapist, are crucial to support the cervical spine."
Paralysis (brain hemorrhage),"Soft, easily swallowable foods, high protein for recovery A highly nutritious, easy-to-swallow diet (often pureed) is required if swallowing muscles are affected. High protein aids tissue repair.","Physiotherapy, assisted range-of-motion exercises Intensive, daily physiotherapy is absolutely essential. It involves assisted range-of-motion exercises to retrain the brain and prevent muscle atrophy."
Jaundice,"Lots of fluids, easily digestible foods, avoid fatty/fried foods A liver-friendly diet consisting of easily digestible foods, light broths, and absolutely zero alcohol is required to give the liver a chance to heal.","Complete rest, very light walking once recovering Complete rest is necessary. The liver requires massive amounts of energy to repair itself and clear the bilirubin buildup."
Malaria,"High-calorie, high-protein diet, lots of fluids (coconut water, soups) A nutrient-dense diet with a focus on iron-rich foods and high-quality proteins is needed to rebuild red blood cells destroyed by the parasite.","Strict rest, avoid any physical exertion Strict bed rest is mandatory during the fever phases. Gradual, slow walks can be introduced only after full clinical recovery."
Chicken pox,"Soft, bland foods, cold fluids, avoid salty/acidic foods Soft, cool, and bland foods are best, as blisters can sometimes form inside the mouth and throat, making swallowing painful.",Complete rest to avoid spreading and conserve energy Strict isolation and complete rest are required to prevent spreading the virus and to allow the immune system to fully fight off the infection.
